data	kri_full	kri_annotatorA,annotatorB	kri_annotatorA,annotatorC	kri_annotatorB,annotatorC	cohen_kappa_annotatorA,annotatorB	cohen_kappa_annotatorA,annotatorC	cohen_kappa_annotatorB,annotatorC	cohen_kappa_mean	ita_annotatorA,annotatorB	ita_annotatorA,annotatorC	ita_annotatorB,annotatorC	ita_mean	judgments_None	judgments_others	judgments_total
Seminar	0.6062597267854055	0.6292134831460674	0.5765570934256056	0.6239966201943388	0.6267148014440433	0.5747422680412371	0.625	0.6088190231617602	0.7659574468085106	0.7555555555555555	0.7777777777777778	0.7664302600472813	5	4	145
Sensation	0.4288340336134454	0.4696969696969697	0.3308823529411765	0.5580357142857143	0.49339207048458156	0.3783783783783784	0.5588235294117647	0.47686465942490824	0.782608695652174	0.7391304347826086	0.88	0.8005797101449276	4	0	146
Spielball	0.6549295774647887	0.484375	0.6594982078853047	0.7912087912087913	0.48453608247422675	0.6571428571428571	0.7894736842105263	0.6437175412758701	0.96	0.9791666666666666	0.9791666666666666	0.9727777777777776	1	1	149
Titel	0.7464872944693572	0.7554925584691707	0.7044117647058823	0.8005952380952381	0.7524752475247525	0.7008797653958944	0.798219584569733	0.7505248658301267	0.8571428571428572	0.8235294117647058	0.8823529411764706	0.8543417366946778	6	24	144
abbauen	0.8489358535496354	0.8051282051282052	0.9654403567447045	0.7984104046242775	0.8035470668485676	0.9650817236255572	0.7971223021582734	0.8552503642107995	0.875	0.9787234042553191	0.8723404255319149	0.9086879432624113	2	2	148
abdecken	0.5666718774425512	0.4117469879518072	0.7947761194029851	0.4502617801047121	0.41975308641975306	0.7925531914893618	0.4734473447344735	0.5619178742145294	0.5531914893617021	0.8717948717948718	0.6153846153846154	0.6801236588470632	4	10	146
abgebrüht	0.972972972972973	0.9596001665972511	1.0	0.9596001665972511	0.9592006661115737	1.0	0.9592006661115737	0.9728004440743825	0.9795918367346939	1.0	0.9795918367346939	0.9863945578231292	2	0	148
artikulieren	0.8982371794871795	0.8900462962962963	0.0	nan	0.8891454965357968	0.0	nan	0.4445727482678984	0.9583333333333334	0.96875	1.0	0.9756944444444445	2	18	148
ausspannen	0.8297613619091048	0.810568295114656	0.8959608323133414	0.801445416508178	0.8087649402390438	0.8950366151342555	0.8	0.8346005184577665	0.875	0.9302325581395349	0.8636363636363636	0.8896229739252995	2	6	148
packen	0.8447390932420873	0.8806045340050378	0.8619079386257505	0.9143192488262911	0.8793969849246231	0.8601864181091877	0.9132473622508792	0.8842769217615634	0.925	0.9142857142857143	0.9459459459459459	0.9284105534105535	8	18	142
zersetzen	0.2556264066016505	-0.24747474747474763	-0.272952853598015	0.9590739975196362	0.023474178403755874	0.018181818181818188	0.9586776859504132	0.3334445608453291	0.45833333333333337	0.4375	0.98	0.6252777777777778	2	0	148
überspannen	0.546975546975547	0.42739726027397273	0.6040044493882091	0.6050826946349335	0.4382022471910112	0.6	0.6162790697674418	0.5514937723194844	0.62	0.7333333333333334	0.7555555555555555	0.702962962962963	0	5	150
